#Fusion Events Log:
#evnt, fam1, fam2, gen, spliceLoc
0	10	7	4	242
1	3	5	1	72
2	7	13	1	54
3	16	19	4	161
4	19	12	1	104
5	3	3	3	81
6	11	9	2	114
7	16	13	4	183
8	2	18	2	190
9	18	7	2	155
10	10	15	0	159
11	6	9	4	144
12	11	17	4	103
13	0	16	0	59
14	5	16	4	233
15	9	8	3	167
16	18	12	4	96
17	0	19	4	103
18	14	9	4	183
19	7	4	4	93
20	5	9	2	230
21	10	1	4	103
22	3	17	3	152
23	8	3	1	249
24	10	18	0	239
25	4	0	0	134
26	7	0	1	238
27	14	11	1	154
28	15	8	2	81
29	16	8	2	171
30	4	16	3	110
31	14	7	1	228
32	19	19	0	198
33	17	18	0	238
34	12	12	4	145
35	14	10	1	180
36	11	6	4	50
37	3	5	0	90
38	7	18	2	81
39	9	1	1	55
40	1	17	1	83
41	1	12	2	90
42	6	2	4	134
43	18	11	0	127
44	1	4	3	147
45	14	5	4	85
46	14	0	1	246
47	11	15	1	223
48	8	17	3	222
49	7	2	4	189
50	6	19	0	120
51	18	6	3	158
52	2	12	2	222
53	2	6	0	84
54	9	15	4	73
55	3	8	3	106
56	5	14	4	223
57	7	15	2	117
58	13	12	4	204
59	17	17	0	172
60	2	3	1	143
61	6	13	2	124
62	12	19	0	76
63	0	10	4	130
