#Fusion Events Log:
#evnt, fam1, fam2, gen, spliceLoc
0	4	1	0	223
1	10	13	0	105
2	17	19	4	123
3	18	1	1	97
4	2	5	3	157
5	14	5	3	124
6	0	17	3	204
7	3	19	2	174
8	6	19	2	56
9	17	12	0	155
10	3	7	3	190
11	4	12	1	136
12	0	16	1	185
13	2	2	3	70
14	16	1	1	54
15	2	11	1	75
16	2	19	0	83
17	16	17	1	60
18	8	18	0	142
19	14	10	2	178
20	12	1	4	239
21	0	3	0	188
22	15	11	2	59
23	14	13	3	248
24	5	5	0	112
25	8	4	3	198
26	7	3	1	84
27	14	2	3	118
28	12	2	4	86
29	13	5	4	236
30	3	16	1	176
31	1	8	4	228
32	16	0	3	90
33	7	3	2	126
34	3	11	0	210
35	13	9	2	104
36	14	1	3	83
37	8	17	4	78
38	12	17	1	249
39	13	11	1	82
40	3	11	2	60
41	6	10	2	156
42	0	13	2	133
43	3	13	3	197
44	15	9	3	73
45	11	12	2	240
46	11	17	2	232
47	17	13	4	192
48	2	18	3	188
49	6	4	1	117
50	4	10	2	246
51	2	11	3	243
52	15	2	2	90
53	0	10	4	185
54	14	15	0	192
55	17	6	0	82
56	0	8	3	100
57	16	1	0	249
58	16	18	3	142
59	7	10	3	127
60	9	9	4	244
61	6	11	4	60
62	5	5	0	205
63	17	11	2	227
64	11	18	2	166
65	19	0	3	180
66	18	10	1	102
67	6	16	4	205
68	8	15	1	199
69	0	19	0	68
70	13	11	3	217
71	17	6	4	245
72	14	9	2	103
73	0	7	2	242
74	4	7	1	126
75	15	3	4	183
76	11	2	4	70
77	5	13	4	189
78	4	1	0	139
79	7	8	1	222
80	17	5	4	138
81	3	10	2	165
82	18	6	2	89
83	11	15	4	79
84	12	8	4	81
85	13	4	0	219
86	16	19	0	65
87	18	11	1	68
88	12	10	3	93
89	4	16	1	212
90	5	19	0	112
91	17	14	1	65
92	0	14	2	136
93	5	16	0	139
94	8	5	3	123
95	4	15	3	149
96	11	18	0	204
97	6	15	3	175
98	8	5	0	241
99	18	8	3	92
100	6	1	0	242
101	17	5	4	173
102	13	7	4	57
103	3	7	2	104
104	8	4	2	81
105	0	16	3	127
106	1	16	4	166
107	8	11	3	230
108	12	3	2	235
109	0	7	2	191
110	6	0	1	241
111	16	3	2	170
112	10	17	4	53
113	7	14	3	174
114	15	14	1	158
115	13	2	1	206
116	8	11	0	82
117	8	18	2	244
118	8	6	4	213
119	8	9	0	191
120	10	7	3	117
121	3	0	1	239
122	5	11	1	157
123	3	1	2	137
124	0	17	0	151
125	19	19	0	55
126	2	7	1	208
127	18	16	3	172
128	3	2	0	231
129	7	3	1	66
130	7	11	0	64
131	10	13	2	175
132	1	0	3	106
133	17	16	4	183
134	1	12	2	79
135	18	0	2	57
136	7	13	1	99
137	11	14	4	155
138	15	10	3	54
139	8	6	4	123
140	5	12	4	103
141	10	11	2	175
142	18	14	2	240
143	1	7	4	111
144	18	13	2	234
145	2	2	0	191
146	0	5	3	159
147	7	11	1	172
148	9	15	1	183
149	1	8	0	126
150	4	13	1	193
151	10	6	4	223
152	9	2	3	159
153	4	0	3	141
154	17	9	0	171
155	1	14	0	205
156	19	9	1	124
157	2	13	4	196
158	9	10	1	157
159	8	17	2	52
160	10	10	1	192
161	0	11	2	130
162	13	2	0	199
163	9	13	1	196
164	13	3	1	65
165	9	17	1	129
166	10	2	4	55
167	17	10	0	132
168	5	13	1	230
169	2	19	1	66
170	16	9	3	98
171	3	11	4	182
172	18	1	4	242
173	2	6	1	62
174	8	15	1	133
175	1	18	3	215
176	13	13	1	85
177	16	2	0	212
178	18	2	2	132
179	3	14	3	123
180	2	16	1	116
181	10	4	0	142
182	5	17	1	92
183	17	15	4	124
184	9	11	1	69
185	19	10	4	92
186	9	6	4	96
187	11	6	3	169
188	3	4	2	192
189	6	16	3	236
190	10	2	2	102
191	9	0	3	206
192	19	3	4	218
193	15	16	4	194
194	8	11	3	136
195	4	19	4	119
196	4	2	3	56
197	15	0	4	137
198	5	12	2	182
199	19	14	3	81
200	0	11	4	230
201	11	7	0	219
202	17	5	3	85
203	15	3	4	221
204	12	14	2	118
205	5	17	0	107
206	4	2	3	148
207	0	4	0	234
208	15	1	2	197
209	11	0	0	249
210	7	9	1	169
211	17	0	3	156
212	11	17	3	160
213	10	2	3	65
214	13	17	3	200
215	7	4	1	230
216	8	2	3	163
217	6	18	0	180
218	6	4	0	130
219	17	18	0	130
220	6	3	1	120
221	6	12	0	76
222	6	11	2	249
223	5	19	4	105
224	0	14	3	146
225	2	15	1	158
226	8	3	4	209
227	10	2	1	201
228	11	7	2	55
229	6	13	3	191
230	8	4	0	230
231	9	1	3	155
232	0	0	2	164
233	11	4	2	104
234	2	6	2	192
235	16	17	0	168
236	8	15	0	104
237	7	16	2	81
238	18	3	0	155
239	18	19	3	93
240	19	18	3	87
241	17	11	2	226
242	19	3	2	178
243	11	17	2	160
244	5	3	0	183
245	6	8	3	87
246	19	17	3	181
247	9	13	0	87
248	4	19	3	105
249	6	5	1	239
250	1	2	0	219
251	7	16	0	64
252	17	15	4	135
253	2	15	1	191
254	12	10	2	116
255	0	5	3	126
